Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mesothelial.cells	2.394260154313938e-07	1.4083804563537888e-07	0.04456456937310023
Smooth.muscle.cells	1.194869464002415e-07	1.240170137902578e-07	0.16765530177539856
Vascular.endothelial.cells	7.202790902923954e-08	8.33564882768284e-08	0.19376790449659909
Lymphatic.endothelial.cells	4.986705845557784e-08	1.0065253802628487e-07	0.3101456064133056
Myeloid.cells	1.5426005699581648e-07	4.29730558865123e-07	0.35980904608277775
Intestine_Unknown.8	6.292452537105797e-07	2.5938982630243975e-06	0.404162787613201
Intestinal.epithelial.cells	-9.190910605813383e-09	5.8467497168359074e-08	0.5624551730775295
ENS.neurons	-4.4381314292969214e-08	1.2291601321081934e-07	0.6409765298523271
ENS.glia	-6.692392190803535e-08	7.699543872601993e-08	0.8076293029229067
Chromaffin.cells	-3.904408066000303e-07	1.3827650231292722e-07	0.9976257949444228
Lymphoid.cells	-5.426172205303935e-07	1.8462592627724664e-07	0.9983536813306828
Stromal.cells	-3.7791421939291606e-07	1.230789894908853e-07	0.9989315018644074
Intestine_Unknown.4	-1.5966665262532593e-06	4.489621812356048e-07	0.9998119782849545
