Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	7.333948304480932e-08	6.752925628889927e-08	0.1387306165940309
Lymphatic.endothelial.cells	9.488350773850276e-08	1.4806877508811404e-07	0.2608240418091139
Myeloid.cells	1.8886920497936712e-07	4.2322601001574273e-07	0.3277044111829104
Stromal.cells	7.440920188452893e-08	1.8470847457408049e-07	0.34353049697977334
Intestine_Unknown.4	-2.1622284647575314e-07	3.1556189792223146e-06	0.5273141291694226
Mesothelial.cells	-1.654769728871447e-08	1.3115448591219559e-07	0.5502011272232677
Smooth.muscle.cells	-6.039561136210844e-08	1.5016666062613166e-07	0.6562281006513575
Chromaffin.cells	-1.276554537290015e-07	1.9178958362899443e-07	0.7471671082796836
Vascular.endothelial.cells	-7.971398396757767e-08	1.1392102658261534e-07	0.7579520971451772
ENS.neurons	-1.250691415041936e-07	1.2500054738416485e-07	0.8414774912064731
ENS.glia	-1.3012577895240408e-07	8.889159041357848e-08	0.9283853356196032
Lymphoid.cells	-5.409646539097355e-07	2.964476351147042e-07	0.9659861767120487
Intestine_Unknown.8	-1.425931280966194e-06	5.092614192838209e-07	0.9974448588978077
