Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	5.258285077764598e-07	2.146838612264456e-07	0.0071564008996994
Smooth.muscle.cells	6.908311266967936e-07	3.7018994746946e-07	0.031009972679213082
Lymphatic.endothelial.cells	1.3206438002586665e-07	1.8117434809046023e-07	0.23302061643611677
Chromaffin.cells	1.913330982324465e-07	3.9178634350517967e-07	0.31264714587216746
Stromal.cells	1.804602568218606e-07	4.08967860507493e-07	0.32951318793966017
ENS.neurons	6.523620252316848e-08	2.440989630427289e-07	0.39463715050884896
Intestine_Unknown.4	1.122072028051143e-06	5.3534437258646355e-06	0.4169906525717638
Lymphoid.cells	1.9480336602182977e-08	4.947394642181176e-07	0.48429572979138774
Myeloid.cells	-6.86640909990583e-08	5.563569054538891e-07	0.5491116878104192
Intestinal.epithelial.cells	-4.753019947725489e-08	1.1944144210863738e-07	0.654661780883685
Intestine_Unknown.8	-1.283982797538678e-06	2.66734101427207e-06	0.68487386928034
ENS.glia	-1.0726946415804463e-07	1.4462526271903503e-07	0.7708673399411348
Mesothelial.cells	-2.5355464842898864e-07	2.2555478315253027e-07	0.8695227054866056
