Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	2.1407341206071106e-06	1.5768148902709098e-06	0.0872902652720442
Vascular.endothelial.cells	3.4106054784524077e-07	5.234491446703063e-07	0.2573412824600452
Myeloid.cells	3.6629073729052823e-07	1.0393521047592355e-06	0.36226083421624994
Stromal.cells	1.2393050870330015e-07	3.778545136795476e-07	0.37146160608596646
Smooth.muscle.cells	-8.712334125045904e-08	1.9222103096426788e-07	0.6748140587631073
Lymphatic.endothelial.cells	-7.386912747888288e-08	1.4197391559136726e-07	0.6985729955034956
ENS.glia	-1.1243226291438568e-07	1.3443322923820867e-07	0.7985189582670709
ENS.neurons	-1.583536302378233e-07	1.8451451053412993e-07	0.804613884978354
Intestine_Unknown.4	-2.13301978401548e-06	1.1886327785789509e-06	0.9636345257633384
Chromaffin.cells	-3.6533415181650876e-07	1.9895532061922584e-07	0.9668405626441599
Intestinal.epithelial.cells	-2.482675411740675e-07	1.0625052990403538e-07	0.9902706290235068
Intestine_Unknown.8	-2.9479391631676884e-06	1.1472187409020317e-06	0.9949097876080089
Mesothelial.cells	-5.147134583173955e-07	1.9732939414935426e-07	0.9954516347598914
