Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	1.3389574604947628e-07	1.3762877196908696e-07	0.16530743669539594
Lymphatic.endothelial.cells	1.1052392699665518e-07	1.2017849359745762e-07	0.17887398342458488
Chromaffin.cells	4.776717266120974e-07	5.333944811533883e-07	0.18525143385059062
Lymphoid.cells	2.828103734988939e-07	3.541387380427912e-07	0.21226514331909302
ENS.neurons	1.4964997960947115e-07	1.9261852402620694e-07	0.21860176633202483
Myeloid.cells	5.214632960208183e-07	7.491570999780711e-07	0.24319353578480057
Mesothelial.cells	1.1210551875722557e-07	1.729656693336331e-07	0.2584480439268508
Stromal.cells	4.761280565000561e-08	1.20845059674289e-07	0.3467909712942825
Intestine_Unknown.8	-5.6959786872295526e-08	1.1704751112659894e-06	0.5194063943142162
Smooth.muscle.cells	-9.14598081388721e-08	1.2118769337256113e-07	0.7747841496081932
ENS.glia	-5.917596246386595e-08	7.457526072682612e-08	0.7862586406749539
Intestinal.epithelial.cells	-5.409541892193062e-08	5.6249575161412786e-08	0.831900743214113
Intestine_Unknown.4	-2.1212984355115214e-06	1.1691760800339444e-06	0.9651883218387177
