Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.8	2.170542102756513e-06	1.5941328797100508e-06	0.08666497219162039
Stromal.cells	2.066961039004949e-07	2.1618409046953957e-07	0.1695079422936564
Lymphatic.endothelial.cells	1.3979860763883683e-07	1.6225898062055556e-07	0.19446016285264373
Chromaffin.cells	1.8847410057475663e-07	2.669088710962252e-07	0.2400516222477715
Intestinal.epithelial.cells	3.579168077633943e-08	5.9285597087514954e-08	0.27301614064841656
Smooth.muscle.cells	4.2352664472758814e-08	1.8409083850544552e-07	0.4090210407326176
ENS.glia	2.009062585856047e-08	9.374705239689299e-08	0.41515392838239085
Lymphoid.cells	5.496591852707029e-08	4.782812261280339e-07	0.4542527415163493
Mesothelial.cells	4.971834611953524e-09	1.4843456816784253e-07	0.48663987614059206
Intestine_Unknown.4	-4.0813140234720346e-07	1.7233988019343405e-06	0.5936009041885114
Vascular.endothelial.cells	-7.653680607243294e-08	1.0676853726772531e-07	0.7632660364559924
ENS.neurons	-2.170563652994664e-07	1.2788632167202902e-07	0.9551762619224196
Myeloid.cells	-5.905264597283957e-07	2.358738763346369e-07	0.9938526100004882
