Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	8.840238089131142e-07	6.335730568902212e-07	0.08146285717262813
Intestinal.epithelial.cells	3.683553368370724e-08	5.742142319809194e-08	0.26060068970338257
Smooth.muscle.cells	8.266680930693072e-08	1.6045041696533575e-07	0.30320063701959554
Intestine_Unknown.8	8.051802830618948e-07	1.6585062901219554e-06	0.31366609892599673
Intestine_Unknown.4	2.529048309931866e-07	1.1160023248187951e-06	0.41036087936618865
Vascular.endothelial.cells	-6.749745914504465e-09	1.0013545057347756e-07	0.526870816166262
Lymphatic.endothelial.cells	-2.4789235525981335e-08	1.279605260648866e-07	0.5768046450309717
Myeloid.cells	-8.916269893414465e-08	2.836142745753384e-07	0.6233838357751277
ENS.glia	-6.325457632111668e-08	8.62645497302398e-08	0.7683008887494853
ENS.neurons	-1.5148669146294472e-07	1.3443512411143354e-07	0.8700946433877206
Mesothelial.cells	-1.39856729582102e-07	1.2258120961012463e-07	0.8730507277999391
Chromaffin.cells	-3.0134760017304577e-07	1.7898889222974855e-07	0.9538715277139684
Stromal.cells	-3.26072409855796e-07	1.0538170819140469e-07	0.999013288343833
