Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.neurons	7.496562444973072e-07	3.832783974635714e-07	0.02523815612944434
Vascular.endothelial.cells	6.061231762902853e-07	6.588618015062404e-07	0.17879815055683568
Chromaffin.cells	6.254578688708828e-07	9.83778946217301e-07	0.2624629305851597
Stromal.cells	5.803887243964371e-07	1.0239319196572928e-06	0.28541703485145953
Intestine_Unknown.4	8.533957467826146e-07	1.8651334423992305e-06	0.3236371272133027
Lymphatic.endothelial.cells	1.2171835376478604e-07	6.066069785898615e-07	0.4204844125691875
ENS.glia	-8.646409272152873e-08	2.92824938413627e-07	0.6161083662961357
Mesothelial.cells	-1.1148099106737676e-07	3.2513656115508324e-07	0.6341535100837571
Myeloid.cells	-9.753076347165015e-07	1.8303427995312783e-06	0.7029330821202371
Lymphoid.cells	-1.3812613599975962e-06	1.2925300591671814e-06	0.8573861404779238
Intestinal.epithelial.cells	-3.6547031819612523e-07	2.721220285522226e-07	0.9103702206580234
Smooth.muscle.cells	-5.306878306853814e-07	3.047621984166778e-07	0.959186053177896
Intestine_Unknown.8	-4.698371042055823e-06	1.5692093785503635e-06	0.9986237250056735
