Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mesothelial.cells	2.308346667865096e-07	1.6551591733190756e-07	0.08156262536392761
Intestine_Unknown.8	1.2855896691993148e-06	9.396595236198595e-07	0.08563348154094091
Intestinal.epithelial.cells	8.665003006166923e-08	6.606575463938697e-08	0.09483220051266011
ENS.neurons	2.2238577524548237e-07	1.7972816455356694e-07	0.10797948368386018
Stromal.cells	2.2754073617027483e-07	2.814716453654082e-07	0.2094311389087003
Lymphatic.endothelial.cells	1.1082879219258123e-07	1.4212845276638883e-07	0.2177604650877744
Myeloid.cells	5.412620674351476e-07	7.019100502073562e-07	0.22031571253081955
ENS.glia	-7.129368124795058e-09	1.0727247816099233e-07	0.5264943442364514
Lymphoid.cells	-1.303085298548295e-07	4.406971468516043e-07	0.6162655345678651
Chromaffin.cells	-1.5404536746863388e-07	3.3657985752488993e-07	0.6764082850245063
Vascular.endothelial.cells	-1.3684130949254967e-07	1.3539469319395302e-07	0.8439162563481943
Intestine_Unknown.4	-1.7493594122151664e-06	1.1683578564080263e-06	0.9328398541012907
Smooth.muscle.cells	-2.9150219346426347e-07	1.5082109104241444e-07	0.9733676140930138
