Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.neurons	2.66922758341855e-07	1.771417879034054e-07	0.06592697552668549
Stromal.cells	2.875634103627633e-07	2.1558303055043103e-07	0.09112043987382973
Intestine_Unknown.4	1.3789410985820883e-06	1.1308111952408666e-06	0.11134118508729413
Vascular.endothelial.cells	1.4005896522247532e-07	1.20398677771786e-07	0.12235527833264703
Chromaffin.cells	2.11447001925438e-07	4.156025820285678e-07	0.3054559859401311
Myeloid.cells	4.488535732274024e-08	3.6163022102410306e-07	0.45061033474856876
ENS.glia	-8.323824532766759e-09	9.341134922388959e-08	0.5355024962968737
Lymphatic.endothelial.cells	-3.493242065949081e-08	1.0833162826990377e-07	0.6264471960797736
Smooth.muscle.cells	-6.654682275475848e-08	1.2012728388290217e-07	0.7102000587595769
Intestinal.epithelial.cells	-5.609140153283459e-08	6.131473572648438e-08	0.8198545997068165
Intestine_Unknown.8	-1.8392347086522181e-06	9.58561724806941e-07	0.972491639895632
Lymphoid.cells	-6.877120629986372e-07	2.780500586812296e-07	0.9933071455029576
Mesothelial.cells	-3.5001188237563856e-07	9.52760657701857e-08	0.9998804496315562
