Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	5.45670730699151e-07	4.612800251545132e-07	0.11841468606590122
Chromaffin.cells	2.5233138781864775e-07	2.3324408645625783e-07	0.13966314337909802
Lymphoid.cells	5.648057157595662e-07	6.109987057193834e-07	0.17763968102922506
Lymphatic.endothelial.cells	1.3012274901716374e-07	1.4761150828351977e-07	0.1890177547026229
ENS.neurons	1.374240182412433e-07	2.4485739079920014e-07	0.2873166123386416
Myeloid.cells	1.9238034021881632e-07	3.7779784997525747e-07	0.3053007575842329
Mesothelial.cells	1.319297364631177e-08	1.1552596033858758e-07	0.45453993824357763
Stromal.cells	-8.394933688168436e-08	1.731581797552766e-07	0.6860955004271929
Vascular.endothelial.cells	-8.006111648781772e-08	1.4056527647098633e-07	0.7155137458207984
ENS.glia	-6.866444111102669e-08	9.874120356179702e-08	0.7565970610907462
Intestinal.epithelial.cells	-7.826918232589198e-08	6.339239332921181e-08	0.8915247840519087
Intestine_Unknown.4	-2.222007964327015e-06	1.6877258933232491e-06	0.9060084692191165
Intestine_Unknown.8	-1.8812771339022602e-06	1.04652610853227e-06	0.963882957843771
