Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	9.615655231740295e-07	8.163231012020625e-07	0.1194137093601898
ENS.neurons	9.464748957005192e-08	1.233980074199785e-07	0.22153782377035675
Mesothelial.cells	8.323327729506357e-08	1.3086855198152753e-07	0.2623860240125308
Chromaffin.cells	8.370831112023526e-08	2.724015911810067e-07	0.3793084927364714
ENS.glia	6.201655002281376e-09	8.659387940628638e-08	0.4714530744283742
Intestine_Unknown.4	-5.82910854224743e-07	2.489088680614578e-06	0.592579884979728
Smooth.muscle.cells	-5.456123074411663e-08	1.3087245113095482e-07	0.6616256369243696
Intestinal.epithelial.cells	-2.3756751546420156e-08	5.18829373589979e-08	0.676484772120464
Lymphatic.endothelial.cells	-6.507906655685174e-08	9.63467344492851e-08	0.7503105333127768
Vascular.endothelial.cells	-1.1548169885890264e-07	1.0509414355864797e-07	0.8640811733800338
Intestine_Unknown.8	-4.394574329361776e-07	2.298317509148704e-07	0.9720672392270111
Lymphoid.cells	-6.41519166722681e-07	2.920769670819384e-07	0.9859684982992045
Stromal.cells	-2.513811835001735e-07	1.0136362272485975e-07	0.9934307716550046
