Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	8.356363312839431e-08	6.03536765842757e-08	0.08309264607611372
Stromal.cells	3.353490793910305e-07	2.6045652628336104e-07	0.09895247770624227
Lymphoid.cells	4.3662696029963e-07	5.544275591051609e-07	0.21548656267231425
Chromaffin.cells	1.9838990589404147e-07	4.163953748330237e-07	0.31687833900044104
ENS.neurons	5.4219052376954914e-08	1.4849516370343735e-07	0.35750966392968175
Smooth.muscle.cells	3.343949258513316e-08	1.755039386484949e-07	0.42444529538466935
Intestine_Unknown.8	7.532774441470051e-08	1.6890067943136105e-06	0.48221353349356405
Mesothelial.cells	-4.971308530684442e-10	1.5602086460182353e-07	0.5012711516571858
Vascular.endothelial.cells	-5.447152816129671e-08	1.0312445338228411e-07	0.7013237457983575
Lymphatic.endothelial.cells	-5.927623748623051e-08	8.969779130032852e-08	0.7456437842279657
ENS.glia	-5.567147512319263e-08	8.388182916958984e-08	0.7465554155236487
Intestine_Unknown.4	-5.105814656170409e-07	7.186887874559984e-07	0.761282699708512
Myeloid.cells	-5.33100446744662e-07	3.7121298306664447e-07	0.9245136237820075
