Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.4	1.7242405942186756e-06	1.8722377640240583e-06	0.17853781636372557
Smooth.muscle.cells	4.8883347517869786e-08	1.3497608121761278e-07	0.35861509969306105
ENS.neurons	5.029089296092879e-08	1.390283625744772e-07	0.35877646405566965
ENS.glia	2.765121458951138e-08	8.765843752892398e-08	0.3762127736177211
Intestinal.epithelial.cells	4.948820890192891e-09	6.312575266790731e-08	0.46875643701352565
Vascular.endothelial.cells	-4.364156536675026e-09	1.0065277554170298e-07	0.517292133160086
Chromaffin.cells	-3.8211143126675584e-08	2.0394381275707066e-07	0.5743112515021824
Myeloid.cells	-1.2474429059355226e-07	5.642240844431372e-07	0.5874888133310813
Intestine_Unknown.8	-2.862184031324634e-07	1.1855998558606663e-06	0.5953822146140328
Lymphatic.endothelial.cells	-4.477160301202448e-08	8.424224946278909e-08	0.7024508662789031
Lymphoid.cells	-1.9317619115261372e-07	3.29763742117579e-07	0.7209956404033022
Mesothelial.cells	-1.243363261209533e-07	1.2149152480661185e-07	0.8469443151874957
Stromal.cells	-1.6160983839682419e-07	1.3976820704730326e-07	0.8762147108053789
