Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mesothelial.cells	2.356579671779217e-07	1.5220428506219623e-07	0.06077498482435285
Intestine_Unknown.8	1.1290643578602152e-06	1.0448148377705563e-06	0.13992956712136884
ENS.glia	6.685557626083906e-08	1.2635430911796004e-07	0.2983638923175115
Lymphatic.endothelial.cells	2.0764806469485513e-08	1.3291724550394126e-07	0.4379283997369122
Lymphoid.cells	-5.028671858821062e-08	4.4858388078386425e-07	0.5446283527263104
Smooth.muscle.cells	-3.671193169979906e-08	1.6193015106579838e-07	0.5896771686838734
Stromal.cells	-5.63310859257064e-08	1.4546005768445157e-07	0.6507187024145722
ENS.neurons	-9.18877540599865e-08	1.4585838243260568e-07	0.7356459191328896
Vascular.endothelial.cells	-1.0981939490984598e-07	9.488157281994005e-08	0.876452964190529
Intestinal.epithelial.cells	-8.057521316852678e-08	6.368104150583712e-08	0.8971169469618672
Chromaffin.cells	-2.433241927715998e-07	1.9019305234124048e-07	0.8996137418182029
Myeloid.cells	-4.844943300156316e-07	3.761880473663125e-07	0.9011104191596068
Intestine_Unknown.4	-1.3984644143159208e-06	9.732789485537706e-07	0.9246209395254122
