Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	2.1893634557576162e-07	1.1775505172585016e-07	0.03149569548197171
ENS.neurons	2.381986994465664e-07	1.7999115592971553e-07	0.09285266980749551
Lymphoid.cells	9.552843849335003e-07	8.252294327888926e-07	0.12351395308101792
Mesothelial.cells	1.3127879738177003e-07	1.4916537261531657e-07	0.1894055601534918
ENS.glia	1.0795354308568007e-07	1.3075871521606438e-07	0.20451736671152143
Intestine_Unknown.4	2.050598299717404e-06	4.008316553897796e-06	0.3044704218990316
Chromaffin.cells	1.7660921101395536e-07	3.534587890950171e-07	0.3086572586268368
Lymphatic.endothelial.cells	4.676550770921119e-08	1.124157706200705e-07	0.3387032208893028
Intestinal.epithelial.cells	-3.922838672582215e-09	6.104481821430887e-08	0.5256190419126068
Intestine_Unknown.8	-6.938043245146484e-07	1.336891201697891e-06	0.6981086207430373
Stromal.cells	-1.5331461077393348e-07	2.948378799729829e-07	0.6984669278616036
Smooth.muscle.cells	-1.5613324790499772e-07	1.2886901048205307e-07	0.8871606273765006
Myeloid.cells	-5.062787099129887e-07	3.628071923135053e-07	0.9185596651018914
