Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Chromaffin.cells	1.698282482344028e-07	2.196182180449964e-07	0.21967582221690557
Lymphoid.cells	4.757732122910153e-07	6.421866185508975e-07	0.22938782736784608
Mesothelial.cells	6.10832054610094e-08	1.1913648742378467e-07	0.30407493282538345
Stromal.cells	6.048561618125579e-08	1.9330636229138978e-07	0.3771782098780943
Intestine_Unknown.8	1.2523836552067182e-08	1.4773259178437148e-06	0.4966180596914556
Intestinal.epithelial.cells	-2.953942298680952e-10	6.437453019320061e-08	0.50183061272479
Smooth.muscle.cells	-1.0903637110013522e-08	1.2940906336707002e-07	0.5335740043380703
Lymphatic.endothelial.cells	-7.160442148246419e-08	2.2964528769400146e-07	0.6224054271466177
ENS.glia	-7.681316580886312e-08	8.470017663892841e-08	0.8177657124898507
Vascular.endothelial.cells	-9.0501220250597e-08	9.62714942633862e-08	0.8264072451157567
ENS.neurons	-1.1143126871768965e-07	1.1239740674156398e-07	0.8392558913983179
Myeloid.cells	-4.458269041479809e-07	3.33084491032206e-07	0.9096299797204275
Intestine_Unknown.4	-1.5450135047467268e-06	5.226757461055961e-07	0.9984415598707591
