Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	2.8748708207074445e-07	1.0862137747628857e-07	0.004064194914345328
Intestine_Unknown.4	2.43828958023974e-06	1.81258451463904e-06	0.0892802487526917
Smooth.muscle.cells	2.1764000416557784e-07	1.6193454110903128e-07	0.08947421250697096
Mesothelial.cells	1.575149512195058e-07	1.7250740561024903e-07	0.18059735429447166
Myeloid.cells	3.810070798830936e-07	5.430097657191095e-07	0.24144627384141393
ENS.neurons	3.781553179718323e-08	1.497199266652259e-07	0.4002982704038677
Chromaffin.cells	-2.332989943489762e-08	2.5457328973616984e-07	0.5365092184945687
Lymphoid.cells	-1.3153932351493992e-07	4.635125744989141e-07	0.6117135884555683
Vascular.endothelial.cells	-3.6876392383806277e-08	1.1211395451048264e-07	0.6288914849134044
ENS.glia	-6.018725854932178e-08	7.609920264017472e-08	0.7855003564222736
Intestine_Unknown.8	-9.8492759713059e-07	6.804492636017909e-07	0.9261168608878095
Intestinal.epithelial.cells	-1.4796792581584468e-07	5.464506864307791e-08	0.9966134604112299
Stromal.cells	-3.8400911847016643e-07	1.2792891282001258e-07	0.9986577858346847
