Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.neurons	4.643042440810553e-07	4.839715423106728e-07	0.16868803022979717
Lymphatic.endothelial.cells	2.3841486834333732e-07	3.765415077021332e-07	0.263311246110543
Myeloid.cells	1.7587188173278572e-07	1.33109676505067e-06	0.44744249665266866
Lymphoid.cells	2.2071394141584176e-09	9.81766022690125e-07	0.499103125929201
Intestine_Unknown.4	-1.7667212728116332e-07	3.460034192360747e-06	0.5203614653962565
Vascular.endothelial.cells	-1.6516029062614263e-08	2.92802984487357e-07	0.5224910615618092
Smooth.muscle.cells	-5.938762428078681e-08	3.8514637007251814e-07	0.5612719870368758
Mesothelial.cells	-1.4156378518456488e-07	3.59868897490993e-07	0.652979101180865
Intestinal.epithelial.cells	-8.173564778887823e-08	1.7836387956054923e-07	0.6766143846563806
ENS.glia	-1.9859743680603505e-07	2.977720959119164e-07	0.7475961809197039
Stromal.cells	-4.7627575475874086e-07	4.956004625979686e-07	0.8317257981454576
Intestine_Unknown.8	-1.953533160009143e-06	1.5584205112491214e-06	0.8949942905856084
Chromaffin.cells	-7.580170903739609e-07	2.7123293007031434e-07	0.9974026768444874
