Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.glia	1.6362323445015202e-07	9.835789822092994e-08	0.04810124340245868
Vascular.endothelial.cells	1.5495596850948967e-07	1.0911155867480022e-07	0.0777804230786168
Lymphatic.endothelial.cells	1.3188382843870666e-07	1.2482357109517158e-07	0.14535579009875793
Myeloid.cells	5.893357653030233e-07	5.717823674227673e-07	0.15134089397452555
Chromaffin.cells	2.2441984768256964e-07	2.4260255687485657e-07	0.1774695720051877
Smooth.muscle.cells	1.2549677773728613e-07	1.7214301651371464e-07	0.23299280284213292
Intestine_Unknown.8	8.130950563346909e-07	2.1417502589719963e-06	0.3521061608674928
Lymphoid.cells	1.3331744950689714e-07	3.816490672818953e-07	0.36342474192752133
Stromal.cells	4.631485751774216e-08	1.6690589991695602e-07	0.39070162115423385
Mesothelial.cells	-2.1200308509508036e-08	1.0639461084779918e-07	0.5789707515124215
Intestinal.epithelial.cells	-1.2526203705001693e-08	5.734118628703558e-08	0.5864608906100811
ENS.neurons	-6.614308426855055e-08	1.533024899497271e-07	0.6669311185173962
Intestine_Unknown.4	-1.953599263688881e-06	5.664348235249775e-07	0.9997186032904094
