Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.glia	5.73009876386245e-07	2.8771523350712345e-07	0.02320820353523222
Stromal.cells	2.9995117059075304e-06	2.3482129097209974e-06	0.10073770533669774
Myeloid.cells	8.529646131154601e-07	1.6440704480183554e-06	0.3019456835487418
Intestine_Unknown.8	6.804683114979566e-07	1.2406924107953326e-05	0.47813063575137166
Intestine_Unknown.4	1.6269355755822587e-06	0.0001739722133406921	0.49626926670738575
Intestinal.epithelial.cells	-5.447813046219162e-08	1.4756127981681403e-07	0.644006898918277
Vascular.endothelial.cells	-1.1288608738457006e-07	3.016242378265738e-07	0.6458948025486186
ENS.neurons	-2.6010629373085244e-07	2.557323498364168e-07	0.845447926115448
Smooth.muscle.cells	-1.901958710624368e-07	1.7543271725109187e-07	0.8608514715987661
Lymphatic.endothelial.cells	-2.7647286130735246e-07	2.464360634491055e-07	0.869044277129633
Lymphoid.cells	-9.788291547723856e-07	5.943870910133622e-07	0.9501991209305611
Mesothelial.cells	-4.0901873367004886e-07	2.3824430872427014e-07	0.9569924864543665
Chromaffin.cells	-5.051394480669474e-07	2.0999336586428975e-07	0.9919248668002961
