Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	2.0995100963662642e-07	1.2458437732396196e-07	0.04597389873978729
Lymphoid.cells	4.725697099935232e-07	4.335053173855357e-07	0.13783172183387837
Lymphatic.endothelial.cells	2.0225674001659189e-07	2.0422854195765463e-07	0.1610027297733455
ENS.glia	8.677080715349192e-08	8.803722712445496e-08	0.16216104965529143
Smooth.muscle.cells	1.0523326000099184e-07	1.338665864601843e-07	0.2159028409375121
Myeloid.cells	5.17228937988911e-07	6.591565798387294e-07	0.2163197371722833
Intestinal.epithelial.cells	5.3542379150543704e-08	7.284536813697886e-08	0.2311654265276437
Chromaffin.cells	1.7919105468704022e-07	3.050113974676759e-07	0.2784374327021042
Stromal.cells	3.343622945350106e-08	1.734335193685497e-07	0.42356176003417706
Mesothelial.cells	1.828832709293043e-08	1.1985076412547787e-07	0.43935982201168255
Intestine_Unknown.8	-8.77873684548534e-09	9.466136944443508e-07	0.5036996708548942
Intestine_Unknown.4	-6.182123517711775e-07	8.819659656128294e-07	0.7583322917767774
ENS.neurons	-2.1537513239653954e-07	1.1707709474489342e-07	0.9670865761408775
