Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	1.1602657919296685e-06	1.3356331483308576e-06	0.1925053593805448
Intestinal.epithelial.cells	3.327243288836384e-07	4.3530400407799e-07	0.22232954439946323
Mesothelial.cells	-1.6818926673119755e-07	5.752147261264374e-07	0.6150072572780144
Intestine_Unknown.8	-1.6376250889294331e-06	4.706852049348539e-06	0.6360512337922404
Vascular.endothelial.cells	-4.6713761921398e-07	5.832907946296978e-07	0.7883953147691554
Smooth.muscle.cells	-4.5923709345769316e-07	5.733072414893102e-07	0.7884432615427689
ENS.neurons	-5.808730197321023e-07	4.7551139031744663e-07	0.8890658830989332
Lymphoid.cells	-1.727222844301659e-06	1.3657753791410677e-06	0.8970009345139525
ENS.glia	-4.805595598895163e-07	3.6955844572670213e-07	0.9032614436831994
Stromal.cells	-7.918089531534027e-07	6.072804061388065e-07	0.903859430291374
Myeloid.cells	-1.7420336959671483e-06	1.0906424342194884e-06	0.9448955220214652
Intestine_Unknown.4	-3.1684863352055545e-06	1.6457281217586046e-06	0.9729027889211286
Chromaffin.cells	-1.215254143902804e-06	5.188423235342753e-07	0.990415852390697
