Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.4	1.7845219456779454e-06	5.760360289686946e-07	0.0009743721392833837
Lymphatic.endothelial.cells	3.6680867319873097e-07	2.557476775366172e-07	0.07574903512559937
Chromaffin.cells	2.1131809787168165e-07	2.6587917806402926e-07	0.21336784984997753
ENS.neurons	1.6323306890033e-07	2.3689522993577933e-07	0.24539535612972502
Mesothelial.cells	1.3500295334675162e-07	2.3632846848801062e-07	0.28391464201573346
Intestinal.epithelial.cells	4.0819421198322086e-08	8.418600008218125e-08	0.3138836275872029
ENS.glia	4.0055447464321224e-08	1.3680165083148522e-07	0.3848377261772336
Stromal.cells	3.971426189318657e-08	1.6963803998769747e-07	0.40744910412825
Myeloid.cells	8.418881623137984e-08	7.431058691794463e-07	0.45489906774282257
Lymphoid.cells	2.5163351180167367e-08	4.787896747940158e-07	0.4790427702755288
Vascular.endothelial.cells	-2.6441440781506296e-08	1.1539825097193569e-07	0.5906168681379622
Smooth.muscle.cells	-1.7932139516566874e-07	1.6415794752880656e-07	0.8626649863808387
Intestine_Unknown.8	-1.0085273813534993e-06	7.415670642726743e-07	0.9130842217016053
