Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	8.387698524701955e-08	7.076406011539302e-08	0.1179484638646634
ENS.neurons	1.5133974554721643e-07	1.6474218090763686e-07	0.17914038155902956
Lymphatic.endothelial.cells	2.7130425894939967e-07	3.076716541966739e-07	0.1889430182428874
ENS.glia	4.1718325274613294e-08	1.0245763812712873e-07	0.3419392417809803
Stromal.cells	6.825201443687365e-08	2.736884560971297e-07	0.40153401033210445
Smooth.muscle.cells	-3.0801187108604555e-08	1.8246982990540525e-07	0.5670236239679931
Intestine_Unknown.4	-6.657830639350748e-07	2.750615976668535e-06	0.5956287921045427
Vascular.endothelial.cells	-4.115864197210922e-08	1.433763533725329e-07	0.61296954995117
Myeloid.cells	-2.713701409782691e-07	4.984745187041517e-07	0.7069173001249839
Mesothelial.cells	-1.1230083972058671e-07	1.348915210517719e-07	0.7974442410600805
Intestine_Unknown.8	-7.306434860483023e-07	6.688678859390392e-07	0.8626622104431843
Chromaffin.cells	-2.0654835089941908e-07	1.8316877622779495e-07	0.8702639053355433
Lymphoid.cells	-9.175026878000088e-07	3.034790674169846e-07	0.9987497528788425
