Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Chromaffin.cells	1.4893728343314171e-06	8.46000404728924e-07	0.03916262289384598
Intestinal.epithelial.cells	3.4919325279932557e-07	2.1163188117394202e-07	0.04947115449067848
Lymphatic.endothelial.cells	6.348507594744986e-07	7.295585776884988e-07	0.19209972015610693
Intestine_Unknown.4	4.259346587443118e-06	6.070595348652584e-06	0.24145318222041978
Lymphoid.cells	6.144488303102042e-07	1.6473050267935042e-06	0.3545733058668944
ENS.neurons	5.979983659443116e-08	4.0303682557876365e-07	0.4410241509961527
Intestine_Unknown.8	-1.253131655416316e-06	1.4867946612421728e-06	0.8003413422525381
Smooth.muscle.cells	-3.5630213462569116e-07	3.0560690738790175e-07	0.878169279960953
Myeloid.cells	-8.459290749227702e-07	5.182306793378152e-07	0.9486961422441793
Vascular.endothelial.cells	-4.089937807696802e-07	2.254652946481437e-07	0.9651610470777509
Mesothelial.cells	-4.2350485654177634e-07	2.2188975563825952e-07	0.9718449094973725
ENS.glia	-4.4025428079130713e-07	1.7283421286206958e-07	0.9945714290037883
Stromal.cells	-7.587586945879508e-07	2.6202743277798486e-07	0.9981085653640341
