Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.8	9.303873492687942e-05	2.1418938704156754e-05	7.003217969874603e-06
Intestinal.epithelial.cells	7.709191166581967e-07	8.975954120274205e-07	0.19520570774604556
Stromal.cells	2.2775329946827736e-06	3.2986723660003496e-06	0.24495898903712038
Myeloid.cells	4.775717770198613e-07	3.1302155273976445e-06	0.4393693480726337
Intestine_Unknown.4	3.136852562912684e-06	0.0001821351665824251	0.4931294912742381
Chromaffin.cells	-4.786832980112095e-07	2.290211405483445e-06	0.5827808426662965
Lymphoid.cells	-1.4246352965046826e-06	3.17961973128524e-06	0.6729422016595712
ENS.glia	-2.969819972778014e-07	5.991949233714273e-07	0.6899240354154912
Lymphatic.endothelial.cells	-8.466790154240681e-07	1.661355717261206e-06	0.6948451341812103
Vascular.endothelial.cells	-1.2356157453021302e-06	1.1473894058759496e-06	0.8592359891465773
Smooth.muscle.cells	-2.0158843296081475e-06	1.4919125717915758e-06	0.911685607345688
ENS.neurons	-1.6657427206859844e-06	6.465080992028691e-07	0.9950100157633014
Mesothelial.cells	-2.3968916836511234e-06	7.584391426153188e-07	0.9992119535426854
