Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	1.5995429773581722e-06	1.037795623261262e-06	0.061623232553349803
Chromaffin.cells	3.1746693310631295e-07	3.635242536868952e-07	0.19124888911430576
Lymphatic.endothelial.cells	1.2096389800373872e-07	1.4946209034760456e-07	0.20916316893483444
Mesothelial.cells	5.620116719671741e-08	1.9976068489111133e-07	0.3892238642519957
Stromal.cells	-1.9289943237527304e-09	1.9528624110692485e-07	0.5039405995827887
Intestine_Unknown.4	-8.178651975699405e-07	2.939646343921427e-06	0.6095778396659232
Intestine_Unknown.8	-2.6360224080554425e-07	7.476631563338084e-07	0.6377939031561484
Myeloid.cells	-4.160076286450777e-07	4.91773985348813e-07	0.801204817619859
ENS.glia	-1.2036957756898394e-07	1.1125520960448565e-07	0.8603566428556274
Smooth.muscle.cells	-1.7916605608723928e-07	1.654489950315093e-07	0.8605753908571416
ENS.neurons	-2.6320878236484024e-07	1.5392173672864396e-07	0.956368632789229
Vascular.endothelial.cells	-2.3949487966229157e-07	1.3337638547917102e-07	0.9637234528473129
Intestinal.epithelial.cells	-1.815634575083307e-07	7.237663726271935e-08	0.9939393310654624
