Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	1.3299161716867673e-07	7.59346061106738e-08	0.03993880209541851
Lymphoid.cells	1.3324863380121115e-06	7.662753048473279e-07	0.041025005032812804
ENS.glia	1.3131108143615744e-07	1.1590738802562094e-07	0.1286288469140422
Myeloid.cells	6.651164051736314e-07	7.266890873429371e-07	0.1800250661791346
Intestine_Unknown.8	2.596939020884435e-07	3.163117043297612e-07	0.20582133979314277
ENS.neurons	3.8307910921556136e-08	1.4032610543311642e-07	0.39242966410584046
Stromal.cells	3.394167541956497e-08	1.717892271825475e-07	0.42168784425332434
Vascular.endothelial.cells	1.4443245550726014e-09	1.5727405551901666e-07	0.4963363694622159
Mesothelial.cells	-7.379772757135398e-08	1.474749385589649e-07	0.6916063005451735
Lymphatic.endothelial.cells	-1.0649541039934199e-07	1.1137085108002369e-07	0.8305203020191614
Intestine_Unknown.4	-9.160206034980974e-07	7.541265707066061e-07	0.8877554478955196
Chromaffin.cells	-4.319947014113448e-07	1.570726231490083e-07	0.9970228402603756
Smooth.muscle.cells	-3.282070899954772e-07	1.1818958294001143e-07	0.9972564567183577
