Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	1.7832304273540194e-07	1.2653251056035587e-07	0.07937233355128354
Intestine_Unknown.4	3.09081251985764e-06	5.04576221204161e-06	0.2700849401443859
Intestine_Unknown.8	1.043820089416813e-06	1.7999087464574743e-06	0.2809810974239959
Intestinal.epithelial.cells	2.1109113653575963e-08	6.291284463973288e-08	0.36861285757301787
Lymphatic.endothelial.cells	2.4542754336638357e-09	9.589386054116187e-08	0.4897907191268899
Chromaffin.cells	-7.076726241442164e-08	2.4504090231708913e-07	0.6136319248117419
ENS.glia	-4.885774515855589e-08	8.645026528000567e-08	0.7140156147915347
ENS.neurons	-7.623798520859991e-08	1.3165223607945987e-07	0.718734474191756
Myeloid.cells	-2.474077031100755e-07	4.0774547858083976e-07	0.7279982030001294
Mesothelial.cells	-9.094966587567748e-08	1.3495685760894384e-07	0.7498178293268936
Lymphoid.cells	-3.3076002533521013e-07	2.9530727576557885e-07	0.8686545737570756
Stromal.cells	-1.8861533112518804e-07	1.3642710297204223e-07	0.9165963513119073
Vascular.endothelial.cells	-1.6622290463800286e-07	8.312558478374572e-08	0.9772315034309649
