Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	1.5201012452574623e-07	9.83663700577487e-08	0.06113123820963951
ENS.glia	2.4227332052037176e-07	1.6790335949534243e-07	0.0745196542873425
Lymphatic.endothelial.cells	2.0532246746811643e-07	1.5254329121722596e-07	0.08915210661156991
Smooth.muscle.cells	1.2295636851679062e-07	1.775317966638465e-07	0.2442841130807557
Myeloid.cells	3.227100622039964e-07	5.91657148774558e-07	0.29272745126371114
Stromal.cells	6.313952215459842e-08	1.9026198635069654e-07	0.36999911634719973
ENS.neurons	6.370231746903133e-08	2.2253110684276807e-07	0.3873385275588549
Intestine_Unknown.8	-1.8053432459018554e-08	6.311704530623114e-07	0.5114094307241416
Intestine_Unknown.4	-2.2346878558188902e-07	2.2685486081986492e-06	0.5392352949771465
Lymphoid.cells	-5.36665700865273e-08	4.885880436769417e-07	0.54373191441421
Chromaffin.cells	-2.734798357875978e-07	3.0705228865998947e-07	0.8134447630893639
Vascular.endothelial.cells	-1.0414790978208643e-07	1.0636447287588352e-07	0.836249703785288
Mesothelial.cells	-1.6133365267787617e-07	1.1429679424747213e-07	0.9209561868856239
