Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.glia	1.3579485857774288e-07	8.935216961461394e-08	0.06428423850062596
Chromaffin.cells	5.640361551638499e-07	5.237475943716158e-07	0.1407571949919364
Lymphatic.endothelial.cells	1.41152318614261e-07	1.5810117096077576e-07	0.18598283229279516
ENS.neurons	1.1506909426096574e-07	1.4364253008753778e-07	0.2115427953266999
Mesothelial.cells	1.278376250406267e-07	1.664308649008137e-07	0.2212101803980785
Vascular.endothelial.cells	7.737393962153477e-08	1.0768793404119935e-07	0.23622406887968145
Intestine_Unknown.8	1.9244429507908826e-06	3.397045145448347e-06	0.28552527841234177
Lymphoid.cells	3.092219458203803e-07	5.48804952712267e-07	0.28656561655702295
Smooth.muscle.cells	5.190840593615357e-08	1.6890980200038513e-07	0.3793020572265413
Intestine_Unknown.4	-4.1743071034154897e-07	2.9649129030226718e-06	0.5559821613548073
Stromal.cells	-4.1450753860248755e-08	1.9638093291003913e-07	0.5835849276330884
Intestinal.epithelial.cells	-8.0187138473421e-08	6.420481456339046e-08	0.8941541466961912
Myeloid.cells	-6.504710938336418e-07	3.4925096798907206e-07	0.9687318962158747
