Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.8	1.4110160748415243e-06	5.437713176858522e-07	0.004731330165829776
ENS.glia	1.7876984302686814e-07	1.1372154472418598e-07	0.057975709251205265
Lymphatic.endothelial.cells	1.4152540615502284e-07	1.0449763443610489e-07	0.08781384315086538
Stromal.cells	2.083129324645022e-07	1.538550878966762e-07	0.08787529800181154
Lymphoid.cells	7.603996623366585e-07	5.82903996292051e-07	0.09603117081917845
Smooth.muscle.cells	1.0965395446717875e-07	1.4241928605180393e-07	0.22066847268820872
Intestine_Unknown.4	2.9143765032799584e-06	4.996903268434877e-06	0.2798670427676787
Myeloid.cells	-2.3010661754902955e-07	4.4334905316546737e-07	0.6981262819209217
Intestinal.epithelial.cells	-4.355852580547638e-08	5.484660276460985e-08	0.7864570672509731
Vascular.endothelial.cells	-9.261602752763013e-08	1.0630413986983011e-07	0.8081874335125729
Chromaffin.cells	-2.1539120045850535e-07	2.4484553043545245e-07	0.8104897252240177
ENS.neurons	-1.6425541055958127e-07	1.3155263092896027e-07	0.8940926186573172
Mesothelial.cells	-1.958196542857324e-07	1.1423003239928456e-07	0.9567592490844969
