Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.8	8.28562241182897e-07	8.946179239586201e-07	0.17718057471994542
Vascular.endothelial.cells	1.1756983527926459e-07	1.4403091736416426e-07	0.2071694533146004
ENS.neurons	1.2306300748331803e-07	1.554304590690329e-07	0.21425146452697358
Stromal.cells	1.274625285049088e-07	1.7800753102910565e-07	0.23697982874873863
ENS.glia	7.186220742777535e-08	1.0056225989962256e-07	0.23742684238603173
Lymphatic.endothelial.cells	1.0883552758774869e-07	1.6029222559966818e-07	0.24857465002781287
Intestinal.epithelial.cells	5.77993111179911e-08	8.642101637295394e-08	0.2518080807957301
Myeloid.cells	2.3046761571454604e-07	4.170543780338265e-07	0.29026590676709074
Chromaffin.cells	1.4239057559288152e-07	3.041301726271775e-07	0.3198245141100457
Lymphoid.cells	1.603964634398055e-07	4.2977452825624227e-07	0.35449580712216494
Intestine_Unknown.4	5.691380646425143e-08	1.7772724389925364e-06	0.48722680710459254
Smooth.muscle.cells	-1.4131933104118905e-08	1.640156853522622e-07	0.5343312140441214
Mesothelial.cells	-1.5870475453247013e-07	1.1260610278366602e-07	0.9206385372425199
