Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	8.763767526572511e-06	4.786820551287342e-06	0.03356431959834025
Intestine_Unknown.4	1.2295816055419553e-06	7.66721268908053e-07	0.054391434491085223
Vascular.endothelial.cells	1.6265561955718237e-06	1.1453879950111021e-06	0.07779046640672789
Myeloid.cells	3.284114140541543e-06	3.518135407531894e-06	0.1752857219388404
Mesothelial.cells	1.2440071336600839e-06	1.8225684180112502e-06	0.24744335428674802
Lymphatic.endothelial.cells	1.699674955498827e-07	4.4940507558349884e-07	0.35263894996466305
Stromal.cells	-2.2050077357716057e-07	8.715514308734729e-07	0.5998651227181169
ENS.neurons	-3.3931729835593896e-07	5.611394953567722e-07	0.7273086026754727
Chromaffin.cells	-4.734077573346219e-07	4.79518767873164e-07	0.8382414105736062
ENS.glia	-4.933514414728488e-07	3.6481089009729465e-07	0.9118680638737057
Intestine_Unknown.8	-8.653607271432891e-06	5.127695279602836e-06	0.9542580166970662
Smooth.muscle.cells	-1.3128744905825392e-06	5.267243853226672e-07	0.9936581068020315
Intestinal.epithelial.cells	-9.68172054689628e-07	2.3154243994743092e-07	0.9999855141532208
