Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	1.0810954594668518e-06	4.912745057328659e-07	0.013882408854592682
ENS.glia	1.0712354758804411e-07	1.1760671317537688e-07	0.18118390692105812
Lymphoid.cells	5.907467356192006e-07	6.801064668352314e-07	0.19253045972254645
Chromaffin.cells	2.5308308766147404e-07	3.410461803176332e-07	0.22901984351875126
Vascular.endothelial.cells	1.0700043358788025e-07	1.504588437929266e-07	0.23849229461938348
Lymphatic.endothelial.cells	6.395967230616167e-08	1.094363420500611e-07	0.27946002024888605
Intestine_Unknown.8	5.533177275738675e-07	2.136730616619459e-06	0.39783486311072025
Intestinal.epithelial.cells	-1.123071557133167e-08	5.479962521862364e-08	0.5811910715258426
ENS.neurons	-8.679488899296413e-08	1.9786542479622535e-07	0.6695446540890703
Stromal.cells	-2.438563496952269e-07	1.8594483019337726e-07	0.9051462061356149
Smooth.muscle.cells	-1.8149617876595192e-07	1.3153137300872914e-07	0.9161866427197438
Mesothelial.cells	-2.7761997099832496e-07	1.0583939909733349e-07	0.9956424263727179
Intestine_Unknown.4	-5.666433746298933e-06	1.0111409928207603e-06	0.9999999895269421
