Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Stromal.cells	1.1241134150142206e-06	1.3784359361762164e-06	0.2073933087043629
Lymphatic.endothelial.cells	3.64837519188348e-07	1.1092151211150627e-06	0.3711099586934017
Lymphoid.cells	1.1276971518618445e-06	4.213464858803152e-06	0.3944877242710126
Mesothelial.cells	1.81895790126302e-07	7.316813973294932e-07	0.4018352127536981
Intestine_Unknown.4	-7.758642786548344e-07	7.135735798121156e-06	0.5432914392441235
Chromaffin.cells	-2.1498699263479705e-07	8.407910686202707e-07	0.6009072445034407
Intestine_Unknown.8	-4.511434682286955e-06	1.53377511726488e-05	0.6156742515884287
ENS.neurons	-2.3509518905243843e-07	7.050583062816016e-07	0.6305992063026407
Vascular.endothelial.cells	-3.674989519450201e-07	1.0976759908826232e-06	0.6311109992192332
Myeloid.cells	-1.349484095267371e-06	2.2868462608136687e-06	0.7224405578793929
ENS.glia	-4.469381103999665e-07	4.2745966917917495e-07	0.8521197128672017
Smooth.muscle.cells	-1.0178683235302428e-06	7.844414366430896e-07	0.9027825738463456
Intestinal.epithelial.cells	-7.653710168758395e-07	3.687381256545446e-07	0.981036798927753
