Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	7.255007745836331e-06	6.899792851035657e-06	0.14651864410960908
Lymphatic.endothelial.cells	7.358169533925948e-07	1.021912809120389e-06	0.23575052903442845
Vascular.endothelial.cells	5.952650254048503e-07	1.1309197084641497e-06	0.29932085464490527
Stromal.cells	1.4153108051524649e-07	1.1335930497001891e-06	0.4503204570887801
Intestine_Unknown.4	-3.7106583842399927e-07	4.874895547428636e-06	0.530337270916931
Intestine_Unknown.8	-3.222280185435856e-06	1.7258344392057024e-05	0.574055417805932
Chromaffin.cells	-1.985745790056878e-07	9.86899514514384e-07	0.5797330227732529
Mesothelial.cells	-1.6522288899140512e-07	7.344640002894814e-07	0.5889936745813102
Myeloid.cells	-7.67594350821789e-07	2.3803887547580002e-06	0.6264501401408649
Smooth.muscle.cells	-6.064165696823058e-07	8.798489621820962e-07	0.7546601108793927
ENS.neurons	-6.630715177097535e-07	6.442529325074641e-07	0.8483094822347814
ENS.glia	-4.91697467734622e-07	4.6056158761665934e-07	0.8571504472528584
Intestinal.epithelial.cells	-5.686599578495501e-07	3.6017285573449685e-07	0.9428150992565033
