Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	2.0682424992051488e-07	1.7773163594038823e-07	0.12227514820163754
ENS.neurons	1.4050126650518197e-07	1.6106277066601087e-07	0.191511851968378
Myeloid.cells	4.5344165715460134e-07	8.314785229295743e-07	0.2927585426470355
Stromal.cells	9.486213265835044e-08	2.4437775203148344e-07	0.3489420569624189
Intestinal.epithelial.cells	2.544621061292308e-09	8.319382449418038e-08	0.4877995912549873
Mesothelial.cells	2.9419196911417676e-10	1.8880153265158872e-07	0.4993783653877607
Chromaffin.cells	-5.650816105067327e-08	3.4729911871526953e-07	0.5646256175445965
Intestine_Unknown.8	-2.370436751132813e-07	6.320310574711705e-07	0.6461886104786847
Intestine_Unknown.4	-9.378898856570437e-07	2.1325035513489015e-06	0.6699615337196675
Lymphatic.endothelial.cells	-1.196350188229543e-07	1.305526879870362e-07	0.8202644755925275
Smooth.muscle.cells	-1.7924664928563866e-07	1.4250557737310398e-07	0.8957719299185208
Lymphoid.cells	-6.294289348607943e-07	4.493186926280618e-07	0.9193708144125528
ENS.glia	-1.7809156749342758e-07	1.1814119446609852e-07	0.9341519168528055
