Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mesothelial.cells	1.650002067602799e-07	1.8930016370614002e-07	0.19170440152714358
Intestine_Unknown.4	1.469917220619756e-06	1.7851642368814658e-06	0.20513821354225031
Intestinal.epithelial.cells	4.607123681834721e-08	7.01700330632336e-08	0.2557301051290142
Lymphatic.endothelial.cells	6.497658124221928e-08	1.2087936435960506e-07	0.29544993709704415
Stromal.cells	3.14391398461645e-08	1.983281502245822e-07	0.43702321034378533
ENS.neurons	2.4462395627683424e-08	1.5830100186800637e-07	0.43859557622388795
Vascular.endothelial.cells	-2.993730673635241e-08	1.242977631178584e-07	0.5951649060875261
Lymphoid.cells	-2.682443349643238e-07	3.730539362028701e-07	0.7639448627105165
Chromaffin.cells	-1.7301857589168375e-07	2.0449552708547503e-07	0.8012445780208038
Smooth.muscle.cells	-1.8004459422346945e-07	1.5720306326442317e-07	0.873957449367746
ENS.glia	-1.412673486957934e-07	1.0859471107015021e-07	0.9033481228459981
Myeloid.cells	-4.997450336416284e-07	3.3911780757617216e-07	0.9297136933029504
Intestine_Unknown.8	-1.1178540694936665e-06	4.7643446840069777e-07	0.9905193602536826
