Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mesothelial.cells	2.242354117519514e-07	1.797715578315604e-07	0.10613728781852516
Vascular.endothelial.cells	1.890798339137108e-07	1.5950531413726171e-07	0.11792689772341997
Lymphatic.endothelial.cells	3.347471228995523e-07	3.302892772367075e-07	0.15541146383804394
Smooth.muscle.cells	1.9483481419724615e-07	2.678466298442592e-07	0.2334868468108729
Chromaffin.cells	9.697831090987624e-08	3.605567114681112e-07	0.39397705430131585
Intestinal.epithelial.cells	1.3193760761875464e-08	8.606054333631003e-08	0.43907773738962597
Myeloid.cells	-2.0837739146055087e-07	6.780693368302036e-07	0.6206962334593791
ENS.neurons	-6.349500347605406e-08	1.9332704579992256e-07	0.6287078951358526
Stromal.cells	-1.1582533506243715e-07	2.388681537622114e-07	0.68612363743991
Intestine_Unknown.8	-8.660616732146982e-07	1.4453070894861894e-06	0.7254880039980286
ENS.glia	-7.721140824901698e-08	1.0798809299344876e-07	0.7626952545090387
Intestine_Unknown.4	-1.890008178195127e-06	1.5997896549760088e-06	0.8812801409417239
Lymphoid.cells	-7.455493132244888e-07	4.039370959413742e-07	0.9675325816822453
