Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	1.668398759984892e-07	2.027174226138141e-07	0.2052491756917187
Stromal.cells	3.352905627152078e-07	4.6804093076935514e-07	0.2368814035092714
Vascular.endothelial.cells	1.0035771315859741e-07	1.8629023435290697e-07	0.29504107647401834
Mesothelial.cells	4.2673732178240034e-08	2.52684398810222e-07	0.43294490702646216
Intestinal.epithelial.cells	-5.632647199620107e-09	1.1384618041594399e-07	0.519729996023016
Intestine_Unknown.4	-6.378364323557817e-07	4.661914485218478e-06	0.5544128940556439
ENS.neurons	-8.244735368871707e-08	2.8077221635982424e-07	0.6154854019292982
Lymphoid.cells	-3.619334487593609e-07	5.970037232423582e-07	0.7278255898927277
Myeloid.cells	-3.797021389045115e-07	4.862370390233956e-07	0.782569123266706
Smooth.muscle.cells	-2.9766342748753355e-07	2.755631609774954e-07	0.859973517391221
ENS.glia	-1.6070631039324807e-07	1.3765541600634083e-07	0.8784863811065211
Chromaffin.cells	-3.998983045383852e-07	2.9933661443667283e-07	0.9092169484517345
Intestine_Unknown.8	-2.8100553073416327e-06	1.4728286891090727e-06	0.971799923463906
