Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Mesothelial.cells	2.143022596016214e-07	1.4208317246950907e-07	0.06574049257555344
Intestine_Unknown.4	3.2713429326346545e-06	2.5538008347050675e-06	0.10010205523497373
Lymphatic.endothelial.cells	1.2920712591490933e-07	1.5973107691173822e-07	0.2092851499729798
Myeloid.cells	2.1575516618972533e-07	3.7237658993579593e-07	0.28115949809035673
Smooth.muscle.cells	6.463807046601019e-08	1.40470643403089e-07	0.3227029912228692
Lymphoid.cells	1.1972423624110828e-07	4.7132383630726994e-07	0.3997412374776033
Intestinal.epithelial.cells	-4.971177404975361e-09	7.647021806938765e-08	0.525916192320368
ENS.neurons	-2.29775797206702e-08	1.9130061104462246e-07	0.5478029538456071
Chromaffin.cells	-6.452910354371362e-08	2.0956031762289426e-07	0.6209307396049418
ENS.glia	-7.876763115197507e-08	1.0313083696150167e-07	0.7774960837381069
Stromal.cells	-1.7353440522341014e-07	1.6866208512369568e-07	0.8482338596646397
Vascular.endothelial.cells	-1.6820564503052582e-07	1.1806462215747814e-07	0.9228767785873442
Intestine_Unknown.8	-1.5522074796892613e-06	7.33886169806921e-07	0.9827872461713985
