Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.4	5.919170439987739e-06	2.1085018835801426e-06	0.0024980335085389343
ENS.neurons	2.772896813248608e-07	2.105046830271878e-07	0.0938755191973179
Lymphoid.cells	6.904812735796687e-07	5.388140043101712e-07	0.10001194021423027
ENS.glia	5.6055134446577665e-08	1.456931159001965e-07	0.3502120656602118
Myeloid.cells	1.476750814321521e-07	5.275869359136575e-07	0.3897745701093063
Stromal.cells	6.165726314789133e-08	3.347344728193736e-07	0.4269292484948385
Intestinal.epithelial.cells	-1.3618040434515207e-08	6.484540723468612e-08	0.5831692020770801
Vascular.endothelial.cells	-1.4482928722561187e-07	1.6250924534705098e-07	0.8135907869327739
Mesothelial.cells	-1.2017322779878304e-07	1.3468339201916127e-07	0.8138744478077815
Lymphatic.endothelial.cells	-1.33389423612091e-07	9.740162916168e-08	0.9145751030652196
Chromaffin.cells	-3.6950765430206216e-07	2.430595281729431e-07	0.9357740652250811
Smooth.muscle.cells	-2.654285101296957e-07	1.1365075195250405e-07	0.9902406944299198
Intestine_Unknown.8	-1.3327217938642755e-06	4.811350292527534e-07	0.9971967876254128
