Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	1.1597933078152047e-07	1.5975433594825732e-07	0.2339238311238077
Lymphoid.cells	1.3596865921519446e-07	4.536473397995123e-07	0.38219412775771167
Mesothelial.cells	2.2493260458817346e-09	1.9742724259206654e-07	0.49545487321154774
ENS.neurons	-8.748969802962592e-09	1.3862529545009128e-07	0.5251614846896366
Chromaffin.cells	-1.8635801243252054e-07	3.623541470344163e-07	0.6964781694463552
Intestinal.epithelial.cells	-5.5356654059534173e-08	9.483767044305122e-08	0.7202885822557132
Intestine_Unknown.8	-1.1739080162609371e-06	1.5336008223433031e-06	0.7780007601671908
Vascular.endothelial.cells	-1.2394037599117233e-07	1.4415534612261426e-07	0.8050419541739349
Lymphatic.endothelial.cells	-1.2602227206926193e-07	1.1838137427379263e-07	0.856459006318983
ENS.glia	-1.3426003551205143e-07	1.0999488032399197e-07	0.8888817368699736
Stromal.cells	-2.3827367424464142e-07	1.8646843393813754e-07	0.899344098087958
Intestine_Unknown.4	-1.542753171280598e-06	1.1592860655620068e-06	0.9083690762074116
Myeloid.cells	-1.0709351947997297e-06	7.077326131920881e-07	0.9348845281595195
