Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	2.5876290254243255e-07	1.536425245757805e-07	0.04607266681330706
Myeloid.cells	4.6360285289126556e-07	8.974823699822055e-07	0.30273192129504833
Vascular.endothelial.cells	6.05708581577961e-08	1.1765830659877593e-07	0.30334531782015206
Lymphoid.cells	4.1874293765859646e-07	9.381753014211903e-07	0.32767669021878243
Intestine_Unknown.8	7.008359642173231e-09	1.8296705235341669e-06	0.4984718974784651
Intestine_Unknown.4	-2.4414758243484855e-08	2.53976493568767e-06	0.5038349727493553
Mesothelial.cells	-1.3235114147209954e-08	1.2424087275648043e-07	0.5424182234716411
ENS.glia	-1.7762453790577446e-08	9.595549243525518e-08	0.5734291627271868
Smooth.muscle.cells	-8.343519119868981e-08	1.4547971380489432e-07	0.7168528917120579
Chromaffin.cells	-1.2683106907904069e-07	1.8850911767191025e-07	0.7494663337608165
Stromal.cells	-1.5195992108148457e-07	1.5078274245634059e-07	0.8432264658924914
Intestinal.epithelial.cells	-1.0528174782841966e-07	6.79972993239656e-08	0.9392276638872282
ENS.neurons	-3.391504141680746e-07	1.1518939473400086e-07	0.9983814914973832
