Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.8	0.00017338972918507322	0.00016425636182579474	0.14557450756761964
Intestinal.epithelial.cells	2.226360087381489e-07	2.9844923886680044e-07	0.2278409167395542
ENS.glia	4.0353072376114777e-08	3.113154648077076e-07	0.44843307972126073
Intestine_Unknown.4	3.0919674836966385e-06	0.00010856538067767433	0.48863956617018417
Chromaffin.cells	-1.1177392587672824e-07	1.0827558776115586e-06	0.5411101646482533
Smooth.muscle.cells	-8.014795094671867e-08	5.628023047921433e-07	0.5566214090562117
Myeloid.cells	-7.164752896291587e-07	1.2317688741712188e-06	0.7196033998786847
Stromal.cells	-4.5623305008847926e-07	6.787154164484848e-07	0.7492720660710492
Lymphoid.cells	-1.8107392956556418e-06	1.968565898224817e-06	0.8211683121983794
Mesothelial.cells	-4.5562266341345655e-07	4.7348464512590577e-07	0.8320443783398791
Lymphatic.endothelial.cells	-1.1049114118282976e-06	7.44641513552739e-07	0.9310712041837499
ENS.neurons	-6.933603047401004e-07	3.2375484528183843e-07	0.9838880198400253
Vascular.endothelial.cells	-6.372801790492326e-07	2.8234202481643834e-07	0.9879997497540357
