Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Vascular.endothelial.cells	1.1490569799806336e-06	7.692957995023724e-07	0.06763384915988647
Myeloid.cells	1.959618351340899e-06	2.5561448799963194e-06	0.2216506501623723
Lymphoid.cells	3.494609198968687e-06	4.675877331272238e-06	0.22742020467654822
Mesothelial.cells	7.114535546660492e-07	1.0352190362079475e-06	0.24596282205876235
Chromaffin.cells	5.28700723402709e-07	8.430698157432808e-07	0.26529231796873826
Intestinal.epithelial.cells	2.0316704215925826e-07	4.4845504255440535e-07	0.3252607965022897
Lymphatic.endothelial.cells	6.195776958313274e-07	1.4455954816299162e-06	0.33410831260339335
Intestine_Unknown.4	6.044524395170152e-07	2.4767462904819528e-06	0.4035956559802838
Smooth.muscle.cells	-3.3655026372651666e-07	6.789698684678028e-07	0.6899391098094703
Intestine_Unknown.8	-3.836072607959997e-06	4.796256633414939e-06	0.7880882624854718
Stromal.cells	-7.48456189358806e-07	6.401210983578648e-07	0.8788468387483599
ENS.neurons	-8.330260186606551e-07	3.703915185889275e-07	0.9877450825509474
ENS.glia	-9.79866715315068e-07	3.5884363189682106e-07	0.9968392641338188
