Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	3.5363329674309503e-07	1.9575406920155232e-07	0.03541871375460664
Vascular.endothelial.cells	1.816219767050036e-07	1.451283481282604e-07	0.10538378374585883
Mesothelial.cells	2.0819780432539284e-07	2.0030413628598943e-07	0.14930741659807079
Stromal.cells	1.5032913361773926e-06	1.5785278891611534e-06	0.1704629174651296
ENS.neurons	2.3476793620384878e-07	2.467282990694919e-07	0.17066918136791026
Intestine_Unknown.8	1.2646665362603537e-06	2.535824079395773e-06	0.308988277641675
Lymphoid.cells	3.651278976784241e-07	7.629135430984543e-07	0.31611278621953165
Intestinal.epithelial.cells	1.3832549397412408e-08	8.230593034012824e-08	0.4332670122574559
Lymphatic.endothelial.cells	6.347235516150426e-09	1.3253375237741063e-07	0.4809013709070237
Myeloid.cells	-3.014778354088148e-07	6.614695667777568e-07	0.6757222294072296
ENS.glia	-1.3294478787803745e-07	1.0401795791704884e-07	0.8993919594991334
Chromaffin.cells	-3.8037803258971676e-07	2.1637818919340905e-07	0.9606204165144423
Intestine_Unknown.4	-6.643519337706186e-06	2.9369300885954083e-06	0.9881532281100402
