Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	1.3743395918875796e-06	9.016110148669833e-07	0.06371496585961263
Smooth.muscle.cells	6.853070108591701e-07	5.665933064224908e-07	0.11323120187784236
ENS.neurons	1.5714631549745567e-07	2.816712647641261e-07	0.28845401209232135
Chromaffin.cells	6.062938341766242e-07	1.4835312481068925e-06	0.3413861968064211
Stromal.cells	2.4425944091003544e-07	9.23900861142172e-07	0.39574417298765907
Intestine_Unknown.4	-4.988152107954225e-07	0.00012761083316310836	0.5015594128335477
Intestine_Unknown.8	-1.4341917720488534e-05	8.293841520851465e-05	0.5686438253691469
Vascular.endothelial.cells	-1.5141655748553193e-07	2.8072076946974856e-07	0.7051893673798897
Myeloid.cells	-8.953821757403818e-07	7.34377743772536e-07	0.8886233022764849
Intestinal.epithelial.cells	-2.552732930318337e-07	1.6252084348947812e-07	0.9418751152773225
Mesothelial.cells	-5.36707979244255e-07	3.0862063650618673e-07	0.9589873752068747
ENS.glia	-4.3013697600144906e-07	1.8573788831593035e-07	0.9897161652244252
Lymphoid.cells	-2.6151658846622894e-06	7.844901304515816e-07	0.9995713303022425
