Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.neurons	5.435894210959836e-07	5.187113753515418e-07	0.14732823035531384
Intestinal.epithelial.cells	1.545279805956441e-07	2.0958794449883307e-07	0.23047172242999286
Lymphatic.endothelial.cells	6.180342810219067e-07	1.0030958907306007e-06	0.2689054111906874
Smooth.muscle.cells	9.649012338696832e-09	5.047661349280059e-07	0.49237436053039835
Intestine_Unknown.4	-4.784251405553052e-06	0.0001263774543193319	0.5150990885392543
Chromaffin.cells	-3.872251645067637e-07	5.775627143036758e-06	0.5267269394156222
Myeloid.cells	-2.6317108113376116e-07	1.019285333406175e-06	0.6018705441547774
Intestine_Unknown.8	-1.4427978027595122e-05	3.736226739692635e-05	0.6503125458211376
Stromal.cells	-2.7587748686215433e-07	5.802938202048761e-07	0.6827526170061748
Lymphoid.cells	-4.1779096830950155e-07	8.187245216974197e-07	0.6950775711274793
ENS.glia	-1.9227679733110648e-07	2.945962905076757e-07	0.7430183618300955
Vascular.endothelial.cells	-5.613648194778396e-07	3.3419863619421713e-07	0.9534954614568232
Mesothelial.cells	-8.400021615866574e-07	1.9639044601949052e-07	0.9999905372668634
