Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Myeloid.cells	1.8514580599844899e-06	1.2043425131538398e-06	0.06210766318350107
Vascular.endothelial.cells	1.7470498298220743e-07	1.2379008006026062e-07	0.0790780360666371
Lymphatic.endothelial.cells	1.3641046495233582e-07	1.227845964657678e-07	0.13328982182441523
Lymphoid.cells	7.741987388207107e-07	9.363292004600342e-07	0.2041625749510459
Stromal.cells	1.8451826038520306e-07	2.7680138935986264e-07	0.25251100207555033
Chromaffin.cells	5.621192584372373e-08	4.2959716797858577e-07	0.4479477794822249
Intestine_Unknown.4	1.0016777658644018e-08	2.3079023350926265e-06	0.498268512703243
ENS.neurons	-3.140658142897396e-08	1.6521799204246381e-07	0.5753813925557879
Mesothelial.cells	-3.796410037628236e-08	1.5275991785098014e-07	0.5981344717855053
Smooth.muscle.cells	-7.98546299518456e-08	1.6607972023231592e-07	0.6846781655192553
ENS.glia	-8.339506644355083e-08	1.1543654868445181e-07	0.7649855664693888
Intestinal.epithelial.cells	-1.0046949158154887e-07	6.801952220089531e-08	0.9301713578152724
Intestine_Unknown.8	-1.8618140431244697e-06	2.5519407454526757e-07	0.9999999999998515
