Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphoid.cells	2.9777838872126045e-07	5.368011417697263e-07	0.2895405104131547
Intestine_Unknown.8	5.651064749219427e-07	1.1851010258334494e-06	0.3167371580636481
Intestine_Unknown.4	-1.1410690925092395e-07	1.2410402700894401e-06	0.5366289586471261
Mesothelial.cells	-3.2003572952152094e-08	1.2310375778589234e-07	0.6025574482247498
Vascular.endothelial.cells	-3.6858093636394896e-08	1.0391519460272948e-07	0.6385905681666759
Intestinal.epithelial.cells	-4.046655688649776e-08	6.838319957331846e-08	0.7229949056709952
Lymphatic.endothelial.cells	-5.079316587200257e-08	7.960883418149722e-08	0.7382743199709483
Stromal.cells	-9.668437218915935e-08	1.5088233716254453e-07	0.739171466772627
ENS.neurons	-1.1150733063484725e-07	1.1429378469762197e-07	0.8353736567597168
Smooth.muscle.cells	-1.5230988665187852e-07	1.1848326570521423e-07	0.9006906737463292
Chromaffin.cells	-2.9365296905470674e-07	1.7725428469144544e-07	0.951207529485893
ENS.glia	-1.4003368950563373e-07	7.715644385208592e-08	0.9652328105146617
Myeloid.cells	-7.50252278390453e-07	2.7591482395105003e-07	0.9967274496653039
