Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	1.3423841063826463e-06	5.607051768846043e-07	0.008330609158037195
Lymphatic.endothelial.cells	5.426933911242039e-07	7.720490297581603e-07	0.2410509114199425
Myeloid.cells	1.3829402713780804e-06	2.6827751019843202e-06	0.3031057791392854
Intestine_Unknown.4	3.506810966663353e-06	7.136558465688945e-06	0.3115764324483763
Chromaffin.cells	6.131228437992306e-07	1.806475580084152e-06	0.3671531602395636
Smooth.muscle.cells	4.35077594812817e-08	6.400094437542585e-07	0.47290082887811363
Stromal.cells	-2.5421658060680127e-07	8.065727296941077e-07	0.62368796985871
ENS.glia	-2.4988800184472137e-07	4.689661937637009e-07	0.7029308221361283
ENS.neurons	-2.856438004316782e-07	5.057603526049756e-07	0.7138886089761474
Intestine_Unknown.8	-5.987541469845564e-06	6.375049970598058e-06	0.8261897716022539
Mesothelial.cells	-7.08337268901876e-07	4.961895872527414e-07	0.9232898173188814
Lymphoid.cells	-2.112559684050908e-06	1.190935396081022e-06	0.961957332510442
Vascular.endothelial.cells	-8.274279422979738e-07	3.5170695718251706e-07	0.9906788154260727
