Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.4	4.096686495972875e-06	1.5925159652730635e-06	0.005048904854360992
ENS.glia	1.525817102549285e-07	1.0319827555491917e-07	0.06963303346662675
Mesothelial.cells	1.9549029070756085e-07	1.361514178189297e-07	0.07552536002079092
Myeloid.cells	1.4069048699772622e-06	1.4498651477076968e-06	0.1659311812782986
Chromaffin.cells	2.0085031779438693e-07	3.2727669369509797e-07	0.26970617736243707
Smooth.muscle.cells	6.214591429182274e-08	1.5434720855275243e-07	0.3436076019569432
Intestinal.epithelial.cells	1.348448861594376e-08	6.487184996513014e-08	0.4176677817571306
ENS.neurons	-1.6991875801018045e-08	1.6310271571201897e-07	0.5414863456625357
Vascular.endothelial.cells	-5.03202772288289e-08	1.1604803099632124e-07	0.6677163248842305
Intestine_Unknown.8	-9.281896893930993e-07	1.249690486393761e-06	0.7711791324926843
Lymphoid.cells	-5.525703920128019e-07	4.03025519439931e-07	0.9148211864988454
Lymphatic.endothelial.cells	-1.3180887466567666e-07	9.50805002487812e-08	0.9171703787992089
Stromal.cells	-2.3410695209954213e-07	1.4069255983192608e-07	0.9519399021866227
