Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	6.86809783449707e-07	3.3914247653782054e-07	0.021426678639942444
Vascular.endothelial.cells	3.441357249651512e-07	2.0599492053487824e-07	0.04740006325819904
Chromaffin.cells	2.7645090415377233e-07	5.727046024711116e-07	0.31465041832878937
Intestinal.epithelial.cells	5.046611306551063e-08	1.1355637142012862e-07	0.3283714181233168
ENS.neurons	9.125281947051486e-08	2.561068782026394e-07	0.360805120353742
Intestine_Unknown.4	1.4302968237235928e-06	4.370783064079914e-06	0.37174303113984575
Lymphatic.endothelial.cells	4.1106851448053054e-08	1.6191204943318945e-07	0.39979265317856927
Stromal.cells	5.147679599139256e-08	3.733887349179773e-07	0.4451740238113245
Lymphoid.cells	-2.11200113645052e-07	5.126610662629514e-07	0.6598186749590443
ENS.glia	-1.143890344038099e-07	1.3781132638731032e-07	0.7967421640654231
Intestine_Unknown.8	-1.6494971232936243e-06	1.7425742540370366e-06	0.8280752165325684
Mesothelial.cells	-2.568097350284471e-07	2.1205034100787337e-07	0.8870674536961887
Myeloid.cells	-7.202193776683763e-07	4.14183686018599e-07	0.958972838714612
