Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestine_Unknown.4	2.12334688594522e-06	1.5787458051607013e-06	0.0893193903858645
Vascular.endothelial.cells	2.22435412167109e-07	1.9950909247533216e-07	0.13244371157332274
ENS.glia	2.8147436635588206e-08	1.0168477208802889e-07	0.390962718395258
Intestinal.epithelial.cells	6.198201566620598e-09	6.772765395486963e-08	0.4635410762328892
Intestine_Unknown.8	6.893394442960678e-08	1.6347416286332001e-06	0.4831823472067544
Chromaffin.cells	1.839524983256304e-09	2.8005562004943186e-07	0.49737959547257876
ENS.neurons	-1.5769512439964333e-08	1.344183737732341e-07	0.5466954317631997
Myeloid.cells	-2.6323147895652564e-07	7.051654335453316e-07	0.6455338355747158
Lymphatic.endothelial.cells	-5.267842535886609e-08	9.06639861426582e-08	0.7193896205967523
Mesothelial.cells	-8.651528151668593e-08	1.30685511956197e-07	0.7460179999497802
Smooth.muscle.cells	-1.0392057957621934e-07	1.2233776560610577e-07	0.8021862676009834
Stromal.cells	-1.8828724612410236e-07	1.707027513709686e-07	0.8649891030525205
Lymphoid.cells	-6.55049388581636e-07	2.807081784719728e-07	0.9901906145135192
