Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Smooth.muscle.cells	1.6589987285468635e-07	1.4648913899320937e-07	0.12871081853492378
Intestine_Unknown.4	2.3666999335878733e-06	3.1614704958584966e-06	0.22704696148129755
Chromaffin.cells	2.57863764915552e-07	4.5838974692023983e-07	0.28687319019274704
Intestinal.epithelial.cells	3.510267590400725e-08	7.193206674043966e-08	0.31277577065643536
ENS.neurons	8.846300665303224e-08	1.8945088450956488e-07	0.32026987228171316
Lymphoid.cells	2.87180917410052e-07	7.475795924315312e-07	0.35043452109424356
ENS.glia	2.685149952300551e-08	1.0291277775046929e-07	0.3970789831419398
Intestine_Unknown.8	5.505214327771153e-08	1.6915397596180782e-06	0.48701848367368794
Stromal.cells	-1.264025563454896e-07	1.7546529929363532e-07	0.7643559852234678
Myeloid.cells	-4.931462244412133e-07	3.0248925113680587e-07	0.9484802472560433
Lymphatic.endothelial.cells	-1.810199696675483e-07	9.799918832986335e-08	0.9676378666278839
Vascular.endothelial.cells	-2.7787181143809406e-07	1.2519373881700156e-07	0.9867748056027182
Mesothelial.cells	-3.4058228577368966e-07	1.2545895737327462e-07	0.996683116934744
