Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	2.2466703995831306e-07	2.4242007194454017e-07	0.17702363562182022
Lymphoid.cells	1.9645212380158384e-06	2.182811716791775e-06	0.18406125988617011
Vascular.endothelial.cells	1.6547599847356623e-07	4.185155928261799e-07	0.34627832131573255
Lymphatic.endothelial.cells	1.1235196982498941e-07	5.118996913902416e-07	0.4131379072773159
ENS.neurons	-3.3940432219740606e-08	4.4368254378085704e-07	0.5304881933142247
Mesothelial.cells	-7.383079414311621e-08	3.496032938011126e-07	0.5836283444282921
Intestine_Unknown.8	-8.540661332864821e-07	2.9272757078085654e-06	0.6147654797059631
Stromal.cells	-3.312703358234653e-07	3.3584508448386057e-07	0.8380262688347422
Intestine_Unknown.4	-2.6290289003400354e-06	1.9548618881886164e-06	0.9106658773029168
Myeloid.cells	-1.229353504758003e-06	9.090711514527902e-07	0.911863234986362
Chromaffin.cells	-5.464204107101542e-07	3.432069666959802e-07	0.9443190775024212
ENS.glia	-4.779037980222184e-07	1.7952500737431684e-07	0.996116634905523
Smooth.muscle.cells	-6.88261757263272e-07	2.2709400139312717e-07	0.9987802040400945
