Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	3.0883035167355774e-07	2.198702713870475e-07	0.08006974368274095
Chromaffin.cells	2.3919938159129455e-06	2.398740560349071e-06	0.15933678259887124
ENS.neurons	2.3315320022472118e-07	4.3638147807718033e-07	0.2965712947916713
Lymphatic.endothelial.cells	1.488798050325911e-07	4.394293941991427e-07	0.3673792351635984
Vascular.endothelial.cells	1.1224759249017676e-08	2.894787107441671e-07	0.4845345824276922
ENS.glia	-6.175254400650513e-08	2.1919545104712425e-07	0.6109222932626405
Intestine_Unknown.4	-9.787825364043755e-07	3.461009116756248e-06	0.6113359370967206
Myeloid.cells	-2.6414707614459633e-07	6.158988957860562e-07	0.665994933499351
Lymphoid.cells	-6.897598715333693e-07	7.765885424147864e-07	0.8127813081150929
Intestine_Unknown.8	-2.8811223036107e-06	2.2436004801849116e-06	0.900455476120051
Stromal.cells	-5.285315574717527e-07	3.2684753812578827e-07	0.9470671624333642
Smooth.muscle.cells	-5.380413704505761e-07	3.0126102243234053e-07	0.9629474643884546
Mesothelial.cells	-6.124108396471596e-07	2.2200401443356067e-07	0.9970971455053506
