Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Intestinal.epithelial.cells	1.5194266783671467e-07	1.0479403542665687e-07	0.0735408139171994
ENS.glia	2.560921317868645e-07	2.0676641629871484e-07	0.10775467536441896
Lymphatic.endothelial.cells	2.00034960169544e-07	1.6359043098522552e-07	0.1107065704826446
Lymphoid.cells	7.055637556331565e-07	8.80069039487671e-07	0.2113591795969973
Vascular.endothelial.cells	7.316422125823753e-08	1.6210651843385846e-07	0.32587433762174345
Intestine_Unknown.8	2.585197071393598e-06	8.685781652742778e-06	0.38299068370812084
Chromaffin.cells	3.5139856095433504e-08	4.3550193683713334e-07	0.46784497092982696
Myeloid.cells	-1.8145842350006674e-07	6.591389636465391e-07	0.6084556415705007
Smooth.muscle.cells	-7.762972092986624e-08	1.9656544291279788e-07	0.653552970561583
ENS.neurons	-2.0143549350147846e-07	2.0165056112185517e-07	0.8410865379141197
Stromal.cells	-3.117177073700981e-07	1.9369301388198662e-07	0.9462288743108568
Mesothelial.cells	-3.113176432215758e-07	1.428194772580992e-07	0.9853637892620022
Intestine_Unknown.4	-3.8092067292721475e-06	9.270036790051187e-07	0.9999801449826293
