Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Lymphatic.endothelial.cells	2.075717584315372e-07	1.3823265546335011e-07	0.06659872336898076
Chromaffin.cells	3.4394964653764404e-07	4.156243054525012e-07	0.2039628659379652
Mesothelial.cells	5.252614354690315e-07	6.978397973320583e-07	0.22581621605565433
ENS.neurons	7.721155991665239e-08	1.4065976062070624e-07	0.29152870232905914
Vascular.endothelial.cells	7.291532155109367e-08	1.3992530972590243e-07	0.3011479514793697
Intestine_Unknown.8	-8.600041109411003e-08	8.421258102650052e-07	0.5406704760260835
Lymphoid.cells	-9.098209303715476e-08	6.640975608469322e-07	0.5544850352141557
Intestine_Unknown.4	-2.8185363188427475e-07	1.910950284566567e-06	0.5586289280487818
Stromal.cells	-9.706761607153363e-08	2.1820905173966206e-07	0.671781481814813
Intestinal.epithelial.cells	-3.960645166826761e-08	7.59809119654146e-08	0.698910109427054
Myeloid.cells	-3.528912087331247e-07	4.4935686135687615e-07	0.7838684997892047
ENS.glia	-2.054746888161822e-07	1.1963377163558056e-07	0.9570588850798106
Smooth.muscle.cells	-2.8021535247615563e-07	1.2949075630635783e-07	0.9847670417016935
