Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ENS.glia	1.125365045437944e-06	5.671654116941753e-07	0.023617222687717727
Chromaffin.cells	4.374181508025273e-06	2.8233325704328803e-06	0.060655135128120305
ENS.neurons	1.0883869274853521e-06	7.583357235578599e-07	0.07561064342383664
Intestine_Unknown.4	1.4305655429455641e-05	1.1313308412844862e-05	0.10302567590430589
Intestinal.epithelial.cells	-1.2470148939779706e-07	3.834344581768239e-07	0.6274936361556912
Vascular.endothelial.cells	-2.9053958975492526e-07	6.182521567257108e-07	0.6808000007002684
Mesothelial.cells	-3.8496217475957306e-07	6.633855522817989e-07	0.71914360189411
Stromal.cells	-7.707710672598791e-07	1.0704818490380666e-06	0.7642444432287507
Lymphatic.endothelial.cells	-4.269369466720505e-07	4.1647086803933096e-07	0.8473491679396618
Lymphoid.cells	-1.2841943737582232e-06	9.064639764837361e-07	0.9217157779658391
Smooth.muscle.cells	-9.235945359161198e-07	4.975814336625072e-07	0.9682851637026911
Myeloid.cells	-2.3589658847276493e-06	1.107844856424092e-06	0.9833864639217822
Intestine_Unknown.8	-8.155009530408203e-06	2.9429152902996858e-06	0.9972063363164373
