Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Erythroblasts	1.7865985173824414e-07	1.427551810668231e-07	0.10537383140355078
Syncytiotrophoblasts.and.villous.cytotrophoblasts	1.2385037635252611e-07	1.2510183146797432e-07	0.16108791281630475
Stromal.cells	1.722862029443852e-07	1.8089790295289364e-07	0.1704484246788895
Smooth.muscle.cells	1.2602302473427219e-07	2.0024481310074272e-07	0.26456168550231807
Extravillous.trophoblasts	-1.2852499337546706e-08	2.8764004330641184e-08	0.6724995803945388
IGFBP1_DKK1.positive.cells	-3.643229435404107e-08	4.38175767028479e-08	0.7971413652360847
PAEP_MECOM.positive.cells	-4.938070941132821e-08	5.310549384519564e-08	0.823778382294257
Trophoblast.giant.cells	-6.699048247738588e-08	7.182948388526058e-08	0.824495023439674
Vascular.endothelial.cells	-8.5665066341203e-08	8.628626763982722e-08	0.8395964540084428
Lymphoid.cells	-2.6813364282834627e-07	2.0179939018920543e-07	0.9080288015984254
Myeloid.cells	-2.609825359062331e-07	1.4748360354940133e-07	0.9616005861291912
